epoch	accuracy	auc	normal_acc	anormal_acc	threshold
1	78.52024442783664	0.813332973475984	88.78392762107504	58.52235904082955	0.67
3	80.49413109421023	0.8218693445342095	94.48509845662586	53.233959818535325	0.86
4	82.23062381852552	0.8717998751076553	88.09207025013305	70.8101101749838	0.53
9	85.58051611201478	0.8878513998393402	89.94811069717935	77.07064160725858	0.92
13	86.04651162790698	0.8909803479947035	91.12559872272486	76.150356448477	0.58
16	86.54328043258451	0.9066952005951789	92.38956891963811	75.15230071289696	0.62
32	87.03565305314986	0.9080809373789577	91.69105907397552	77.9650032404407	0.55
45	87.29063173165692	0.9170475549762579	90.31399680681214	81.399870382372	0.56
56	88.81171143447487	0.9214681869432487	93.55375199574242	79.57226182760856	0.8200000000000001
