epoch	accuracy	auc	normal_acc	anormal_acc	threshold
1	76.51998065678991	0.8042248948624442	95.88211814795103	38.79455605962411	0.87
2	77.89159009979339	0.7379705062985957	99.1484832357637	36.47440051847051	0.9400000000000001
5	81.82617488020398	0.8520123067764358	95.23017562533262	55.70965651328581	0.8200000000000001
10	82.89884380357849	0.8691639731976406	94.39196381053752	60.505508749189886	0.55
14	83.27691563722689	0.8686890304787678	91.91724321447579	66.44199611147116	0.33
15	84.98263507275685	0.8868407927852855	90.84619478445983	73.55800388852884	0.56
16	85.9453993933266	0.892929829196526	93.46061734965407	71.30265716137394	0.74
27	85.96738031388755	0.8869436366815818	94.23230441724321	69.86390149060271	0.89
28	86.21356662417023	0.9017600425206524	92.35630654603513	74.2449773169151	0.49
51	87.12797291950586	0.9102511231860688	94.38531133581692	72.98768632534025	0.41000000000000003
